127.0.0.1 - - [29/Dec/2020:20:32:08 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:32:10 +0900] "GET /dabom/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:32:10 +0900] "GET /dabom/login.do HTTP/1.1" 200 5371
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:32:59 +0900] "GET /dabom/mypage_main.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:32:59 +0900] "GET /dabom/login.do HTTP/1.1" 200 5371
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:05 +0900] "GET /dabom/oauth/kakao/callback.do?code=t-ySNUSmHTKX3ywLmt6duBFryuFzY90WmDQF_DU9Ys5n9no97EekYQnF1lVwut6eAXOBdQopyV4AAAF2rkXahw HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/mainpage.do HTTP/1.1" 200 32972
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resource/js/scroll.js HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resources/image/profile-default.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resources/profile_img/heart.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resources/profile_img/ddks.png HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resources/profile_img/pp.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resources/feed_img/2020112874524838.jpg HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resources/feed_img/2020112874525158.JPG HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resources/feed_img/202011287447612.jpg HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resources/feed_img/2020112874525439.jpg HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resources/profile_img/ddks.png HTTP/1.1" 404 855
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resources/image/profile-default.jpg HTTP/1.1" 404 860
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resources/profile_img/heart.png HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resources/profile_img/pp.jpg HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [29/Dec/2020:20:33:06 +0900] "GET /dabom/resource/js/scroll.js HTTP/1.1" 404 846
